ID;StationStart;Line;TimeStart;StationEnd;TimeEnd;global_id;
Локальный идентификатор;Станция отправления;Направление Аэроэкспресс;Время отправления со станции;Конечная станция направления Аэроэкспресс;Время прибытия на конечную станцию направления Аэроэкспресс;global_id;
393;Окружная;В Шереметьево;15:57;Аэропорт Шереметьево;16:48;2449495229;
94;Павелецкий вокзал;В Домодедово;16:00;Аэропорт Домодедово;16:46;2449492147;
11;Киевский вокзал;Во Внуково;16:00;Аэропорт Внуково;16:33;2449494947;
168;Аэропорт Домодедово;В Домодедово;16:00;Павелецкий вокзал;16:48;2449495035;
205;Аэропорт Домодедово;В Домодедово;16:00;Верхние Котлы;16:41;2449495079;
356;Белорусский вокзал;В Шереметьево;16:06;Аэропорт Шереметьево;17:18;2449492694;
131;Верхние Котлы;В Домодедово;16:08;Аэропорт Домодедово;16:46;2449492236;
29;Аминьевская;Во Внуково;16:10;Аэропорт Внуково;16:33;2449494965;
432;Савёловская;В Шереметьево;16:12;Аэропорт Шереметьево;17:18;2625375215;
47;Аэропорт Внуково;Во Внуково;16:15;Киевский вокзал;16:48;2449494983;
65;Аэропорт Внуково;Во Внуково;16:15;Аминьевская;16:36;2449495001;
281;Аэропорт Шереметьево;В Шереметьево;16:25;Окружная;17:16;2449495171;
319;Аэропорт Шереметьево;В Шереметьево;16:25;Белорусский вокзал;17:37;2449495217;
243;Аэропорт Шереметьево;В Шереметьево;16:25;Савёловская;17:31;2449501705;
394;Окружная;В Шереметьево;16:27;Аэропорт Шереметьево;17:18;2449495230;
95;Павелецкий вокзал;В Домодедово;16:30;Аэропорт Домодедово;17:18;2449492172;
169;Аэропорт Домодедово;В Домодедово;16:30;Павелецкий вокзал;17:18;2449495036;
206;Аэропорт Домодедово;В Домодедово;16:30;Верхние Котлы;17:10;2449495080;
357;Белорусский вокзал;В Шереметьево;16:36;Аэропорт Шереметьево;17:48;2449492696;
132;Верхние Котлы;В Домодедово;16:38;Аэропорт Домодедово;17:18;2449492239;
433;Савёловская;В Шереметьево;16:42;Аэропорт Шереметьево;17:48;2625375216;
282;Аэропорт Шереметьево;В Шереметьево;16:55;Окружная;17:46;2449495172;
320;Аэропорт Шереметьево;В Шереметьево;16:55;Белорусский вокзал;18:07;2449495218;
244;Аэропорт Шереметьево;В Шереметьево;16:55;Савёловская;18:01;2449501799;
395;Окружная;В Шереметьево;16:57;Аэропорт Шереметьево;17:48;2449495232;
96;Павелецкий вокзал;В Домодедово;17:00;Аэропорт Домодедово;17:48;2449492152;
12;Киевский вокзал;Во Внуково;17:00;Аэропорт Внуково;17:33;2449494948;
170;Аэропорт Домодедово;В Домодедово;17:00;Павелецкий вокзал;17:48;2449495037;
207;Аэропорт Домодедово;В Домодедово;17:00;Верхние Котлы;17:41;2449495082;
358;Белорусский вокзал;В Шереметьево;17:06;Аэропорт Шереметьево;18:18;2449492698;
133;Верхние Котлы;В Домодедово;17:08;Аэропорт Домодедово;17:48;2449492240;
30;Аминьевская;Во Внуково;17:10;Аэропорт Внуково;17:33;2449494966;
434;Савёловская;В Шереметьево;17:12;Аэропорт Шереметьево;18:18;2625375217;
48;Аэропорт Внуково;Во Внуково;17:15;Киевский вокзал;17:48;2449494984;
66;Аэропорт Внуково;Во Внуково;17:15;Аминьевская;17:36;2449495002;
283;Аэропорт Шереметьево;В Шереметьево;17:25;Окружная;18:16;2449495173;
